Local,Visitante,PuntosLocal,PuntosVisitante,Competicion,Temporada,Jornada
Cabras,La Estrella,5,36,Liga Antioquena de Rugby,Segunda Femenina 7s,Fecha 1
Juncos RC,Duendes,40,0,Liga Antioquena de Rugby,Segunda Femenina 7s,Fecha 1
Porra Caimanera,Copacabana RC,5,38,Liga Antioquena de Rugby,Segunda Femenina 7s,Fecha 1
Athalantas,Panteras,43,0,Liga Antioquena de Rugby,Segunda Femenina 7s,Fecha 1
Alianza,Coyotes,29,30,Liga de Rugby de Bogota,Torneo LRB - Femenino,Fecha 13
Minotauros,Cachacas,21,0,Liga de Rugby de Bogota,Torneo LRB - Femenino,Fecha 13
Jaguares,Carneros,16,14,Liga de Rugby de Bogota,Torneo LRB - Femenino,Fecha 13
Alianza,Coyotes,0,63,Liga de Rugby de Bogota,Torneo LRB - Mayores,Fecha 13
Minotauros,Salamandras,21,0,Liga de Rugby de Bogota,Torneo LRB - Mayores,Fecha 13
Jaguares,Carneros,19,15,Liga de Rugby de Bogota,Torneo LRB - Mayores,Fecha 13
